What objects that satisfy the following statement : (subject : Nobel Prize in Physiology or Medicine | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Asaf Duraković | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bernard Shaw | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vito Acconci | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alexandru Repan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : László Vitézy | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jerry Lucas | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Edward Redliński | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Maurizio Moreno | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jesús López Cobos | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jon Elster | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John Mahoney | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Cecily Corti | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Sultan Khan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Peter Gregg | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Hennadii Dolzhenko | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Adalberto Giazotto | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Oleh Panasovskyi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Francesc Betriu i Cabeceran | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vagif Mustafazadeh | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : László Sinkó | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Laurence Decore | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joseph Brodsky | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Richard Chew | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Víctor Gómez Bergés | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Michael Spivak | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Maria Mazziotti Gillan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : J. M. Coetzee | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Chuck Norris | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Terry Harper | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Pilar Mercedes Miró Romero | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Thomas Köhler | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Viktor Ivannikov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Canali Akbarov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Norbert Tadeusz | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anna Oppermann | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Erkki Ruoslahti | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nguyen Van Troi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Erich Schleyer | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nicolae Martinescu | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Renate Hellwig | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Valie Export | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Paolo Borsellino | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Narendra Kohli | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Marie Gustave Le Clézio | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Svetlana Morgunova | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Reijo Taipale | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Sharpatov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Per Egil Hegge | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Notker Wolf | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bob Hewitt | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : James Caan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Sherko Bekas | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jack Nicklaus | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Peter Diamond | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Max Mosley | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ani Bakalova | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gogi Kavtaradze | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ed Van Impe | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Al Jarreau | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Aleksandr Anipkin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Béla Éless | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vitaly Efimov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alina Pokrovskaya | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Natalya Gramolina | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Klaus Zehelein | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Penelope Keith | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Iva Zanicchi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ion Ciocanu | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Helmut Ruge | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Äzhär Şakiref | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : William C. Chasey | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Souleymane Cissé | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mariusz Hermansdorfer | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mojca Senčar | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : H. R. Giger | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vaino Vahing | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Vasiliev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Tabaré Vázquez | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Stoked | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Beauty and the Beast | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Moon Embracing the Sun | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Life with The Lyons | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : L'Amour avec un grand A | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Transporter: The Series | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pompel og Pilt | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Power Rangers Turbo | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El Caso: Crónica de sucesos | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Taste in Translation | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Nania Lain Dunia | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Long Way Round | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Zwei Münchner in Hamburg | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Exorcist | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : A Hero of Our Time | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Gabby Duran & The Unsittables | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Gadget Man | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Hercai | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Blind | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Derek | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Timm Thaler | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : NASCAR Racers | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Good Luck Charlie | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Co-Ed Fever | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Fresh Beat Band | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Narcos | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Popland! | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Army Wives | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Other World | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Mandrake | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Champion | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Adventures of Superman | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Arrow | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ned's Newt | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Chasing Shadows | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dads | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Supah Ninjas | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Many Loves of Dobie Gillis | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Dating Guy | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Modern Men | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Life in Cold Blood | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Die Camper | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The World That They Live In | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Almost Home | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Ghost & Mrs. Muir | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Power Rangers Beast Morphers | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Life of Mammals | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : It's Okay to Not Be Okay | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Seijuu Sentai Gingaman | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Los Donatti | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Flash | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Lone Gunmen | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Rdat Lwalida | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pig Goat Banana Cricket | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Car 54, Where Are You? | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Beppinsan | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Strike | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dark Blue | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El final del camino | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The O.C. | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kulderzipken | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Alice | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dirk Gently's Holistic Detective Agency | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Wolf Lake | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Heridas de Amor | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Da Vinci's Inquest | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Babaeng Hampaslupa | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Paper Chase | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Flower Boy Ramen Shop | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : What the Tudors Did for Us | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : TekWar | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : E.N.G. | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Another Miss Oh | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Por arte de magia | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Revenge is mine | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Andy Griffith Show | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : S*M*A*S*H | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Infiniti | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Rodzina zastępcza | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Riese: Kingdom Falling | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Cielo de Angelina | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Taira no Kiyomori | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Misaeng | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Soul Food | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Rechov Sumsum | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pacific Station | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Teacher's Pet | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Full Throttle Girl | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Alien | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Panoptikum města pražského | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Zero Degree Turn | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bruno the Kid | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Unsere Farm in Irland | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kikkebakke boligby | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : S.O.S.: Sexo y otros secretos | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Superstar Duets | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Amor a mil | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bolek and Lolek | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : House of Lies | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Walking Dead: World Beyond | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Max Planck Medal | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Best Female Tennis Player ESPY Award | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Franklin Medal | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : BBC World Sport Star of the Year | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Pulitzer Prize for Biography | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Nobel Prize in Literature | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Sydney Peace Prize | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Aga Khan Award for Architecture | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Mark Twain Prize for American Humor | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : iF product design award | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : TORM | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Allgemeine Gold- und Silberscheideanstalt | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bosch Engineering | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Entertainment One | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : WORLD FLEX PUBLIC COMPANY LIMITED | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tucows | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Shaw Communications | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Herbert Kannegiesser GmbH | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bridgestone | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Chinlink International Holdings Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Groupon | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Color Line | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ITE Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Isar Aerospace | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : SSE Composite Index | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Lürssen | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Jutal Offshore Oil Services Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bourns, Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Simon Property Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Cummins | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Patagonia Bank | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Community Health Systems | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Centracom | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Makita | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tekpro Steel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : CBS Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Caltagirone | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : AXA RON fund 2, otevřeny podilovy fond AXA investiční společnosti | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Syneron Medical | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Land Warfare Resources Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : United Microelectronics Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : o.tel.o | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Clarisonic | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Hydro One | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Santander Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Zühlke Technology Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Planet Internet | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bloomsbury Publishing | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Harley-Davidson | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Canadian National Railway | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ostindustrie | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Foxtel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Suzano Papel e Celulose | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : PQube | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ASKLEPION-Trade | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : La Pavoni | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Enel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Keisei Electric Railway | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Versace | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Monongahela River Consolidated Coal and Coke Company | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Polaris Finance SICAV p.l.c. - Polaris Omega | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Uni-Bio Science Group Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ASM International | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : FlexIT | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : SAIC Motor | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Telrad Networks Ltd | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Fenryll | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Quest Diagnostics | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : CPFL Energia | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Focus Media Holding | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Alfred Sternjakob | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : AT Compus | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bank of Sicily | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Compañía Española de Minas del Rif | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : TEDDIES | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : HD Korea Shipbuilding & Offshore Engineering | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Les Films Jean-Pierre Lefebvre | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Encompass Health | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : TD Ameritrade | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Orlen Unipetrol | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Silicon Laboratories | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : A + Z Rišňovský, Halász | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Silicon Image | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Fairchild Semiconductor | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : United Aircraft Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Vedanta Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Aersud elicotteri | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : AAC Technologies Holdings Inc | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Elkar | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : North Atlantic Refining | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Future plc | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Linde Material Handling | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Gree Electric | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Romaero | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ōita Bank | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Regeneron Pharmaceuticals | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Rosneft | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : RusHydro | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tata Motors Ltd | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Khartsyzsk pipe plant | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Spotify Technology | relation : companyTradesAtStockExchange | objects : ?)
